順位,チェック母父馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,チェック母父馬無し, 164- 152- 183-1664/2163,7.6%,14.6%,23.1%,62,64,77.1,6.9着,7.1人気,40.0,830,283,0,0.0%,7.0%,8.5%,116.78,12.98,55.49
2,ミスプロ系, 163- 137- 119-1423/1842,8.8%,16.3%,22.7%,84,76,85.9,7.5着,7.3人気,66.2,954,337,0,0.0%,7.4%,6.5%,115.73,12.86,55.99
3,ニジンスキー系, 144- 160- 148-1289/1741,8.3%,17.5%,26.0%,61,81,80.6,7.0着,7.1人気,57.4,743,316,0,0.0%,9.2%,8.5%,116.12,12.90,55.81
4,サンデーサイレンス系, 129- 141- 119-1205/1594,8.1%,16.9%,24.4%,72,75,75.9,7.3着,7.1人気,61.4,891,311,0,0.0%,8.8%,7.5%,115.70,12.86,56.01
5,セントサイモン系, 126- 151- 129-1220/1626,7.7%,17.0%,25.0%,54,65,72.7,6.8着,6.7人気,41.0,704,267,0,0.0%,9.3%,7.9%,116.59,12.95,55.58
6,ハンプトン系, 126- 142- 144-1181/1593,7.9%,16.8%,25.9%,77,76,75.3,6.7着,6.8人気,43.7,977,297,0,0.0%,8.9%,9.0%,116.64,12.96,55.56
7,プリンスリーギフト系,  98- 108- 102-1062/1370,7.2%,15.0%,22.5%,69,64,73.6,7.1着,7.1人気,49.6,974,290,0,0.0%,7.9%,7.4%,116.68,12.96,55.54
8,グレイソヴリン系,  96-  83-  85- 899/1163,8.3%,15.4%,22.7%,69,67,79.3,7.1着,7.3人気,60.2,847,300,0,0.0%,7.1%,7.3%,116.30,12.92,55.72
9,他のノーザンダンサー系,  89-  90-  97- 872/1148,7.8%,15.6%,24.0%,104,91,81.4,7.1着,7.3人気,51.5,1345,386,0,0.0%,7.8%,8.4%,116.30,12.92,55.72
10,他のターントゥ系,  76-  69-  70- 717/ 932,8.2%,15.6%,23.1%,70,73,85.8,7.2着,7.4人気,58.6,865,317,0,0.0%,7.4%,7.5%,116.07,12.90,55.83
11,ロベルト系,  75-  67-  64- 792/ 998,7.5%,14.2%,20.6%,90,62,82.0,7.5着,7.5人気,69.5,1198,301,0,0.0%,6.7%,6.4%,115.84,12.87,55.94
12,ノーザンテースト系,  74-  71-  85- 765/ 995,7.4%,14.6%,23.1%,81,81,79.0,7.1着,7.3人気,56.6,1095,351,0,0.0%,7.1%,8.5%,116.09,12.90,55.82
13,他のネイティヴダンサー系,  73-  63-  56- 657/ 849,8.6%,16.0%,22.6%,63,57,79.5,7.1着,6.8人気,48.4,734,259,0,0.0%,7.4%,6.6%,116.08,12.90,55.82
14,ネヴァーベンド系,  70-  55-  71- 690/ 886,7.9%,14.1%,22.1%,87,72,85.0,7.3着,7.5人気,59.2,1106,333,0,0.0%,6.2%,8.0%,116.13,12.90,55.80
15,ボールドルーラー系,  62-  95-  85- 709/ 951,6.5%,16.5%,25.4%,53,76,59.9,7.0着,6.9人気,52.7,822,304,0,0.0%,10.0%,8.9%,116.12,12.90,55.80
16,リファール系,  60-  62-  58- 657/ 837,7.2%,14.6%,21.5%,64,72,78.0,7.3着,7.3人気,68.5,905,337,0,0.0%,7.4%,6.9%,116.10,12.90,55.82
17,ヘロド系,  50-  45-  64- 513/ 672,7.4%,14.1%,23.7%,45,62,71.8,7.2着,7.0人気,49.3,606,269,0,0.0%,6.7%,9.5%,116.72,12.97,55.52
18,ヴァイスリージェント系,  49-  47-  47- 364/ 507,9.7%,18.9%,28.2%,73,79,83.7,7.1着,6.9人気,58.6,756,281,0,0.0%,9.3%,9.3%,115.34,12.82,56.18
19,ダンチヒ系,  46-  40-  43- 461/ 590,7.8%,14.6%,21.9%,85,73,80.5,7.4着,7.4人気,68.5,1092,337,0,0.0%,6.8%,7.3%,115.74,12.86,55.99
20,マッチェム系,  42-  49-  44- 390/ 525,8.0%,17.3%,25.7%,46,68,74.5,6.8着,6.9人気,44.2,580,267,0,0.0%,9.3%,8.4%,116.34,12.93,55.70
21,ストームバード系,  39-  29-  31- 280/ 379,10.3%,17.9%,26.1%,123,114,92.0,7.0着,6.7人気,60.9,1204,437,0,0.0%,7.7%,8.2%,115.26,12.81,56.22
22,レッドゴッド系,  33-  34-  34- 342/ 443,7.4%,15.1%,22.8%,62,73,85.9,7.5着,7.3人気,63.3,833,323,0,0.0%,7.7%,7.7%,116.33,12.93,55.70
23,ヌレイエフ系,  24-  18-  22- 183/ 247,9.7%,17.0%,25.9%,68,91,108.3,7.7着,7.4人気,65.1,710,353,0,0.0%,7.3%,8.9%,115.66,12.85,56.03
24,キングマンボ系,  23-  17-  20- 220/ 280,8.2%,14.3%,21.4%,60,71,85.1,7.7着,7.1人気,59.8,730,332,0,0.0%,6.1%,7.1%,115.61,12.85,56.05
25,サドラーズウェルズ系,  21-  21-  20- 213/ 275,7.6%,15.3%,22.5%,86,82,91.1,7.7着,7.8人気,71.9,1130,367,0,0.0%,7.6%,7.3%,116.03,12.89,55.85
26,フォーティナイナー系,  21-  19-  16- 235/ 291,7.2%,13.7%,19.2%,67,60,94.1,7.6着,8.3人気,78.9,937,319,0,0.0%,6.5%,5.5%,115.85,12.87,55.94
27,テディ系,  20-  32-  36- 253/ 341,5.9%,15.2%,25.8%,24,70,55.4,7.2着,7.2人気,55.2,412,282,0,0.0%,9.4%,10.6%,116.28,12.92,55.73
28,フェアリーキング系,   5-   5-   6-  62/  78,6.4%,12.8%,20.5%,89,69,81.0,7.4着,7.5人気,68.6,1402,339,0,0.0%,6.4%,7.7%,116.18,12.91,55.78
29,トップサイダー系,   4-   3-   6-  44/  57,7.0%,12.3%,22.8%,25,80,86.7,7.8着,7.6人気,66.1,360,382,0,0.0%,5.3%,10.5%,116.50,12.94,55.62
30,ディープインパクト系,   1-   0-   0-   8/   9,11.1%,11.1%,11.1%,22,13,106.0,8.4着,7.8人気,114.8,200,120,0,0.0%,0.0%,0.0%,116.76,12.97,55.50
31,"チェック母父馬 Type [99]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
32,"チェック母父馬 Type [98]",   0-   0-   0-   0/   0,,,,,,,,,,,,,,,,,,
