順位,チェック種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,サンデーサイレンス系, 339- 328- 310-3068/4045,8.4%,16.5%,24.2%,77,76,82.4,7.3着,7.2人気,64.5,920,317,0,0.0%,8.1%,7.7%,115.79,12.87,55.96
2,ミスプロ系, 215- 200- 185-1826/2426,8.9%,17.1%,24.7%,93,81,87.2,7.2着,7.2人気,59.0,1050,330,0,0.0%,8.2%,7.6%,115.81,12.87,55.95
3,ロベルト系, 160- 134- 139-1314/1747,9.2%,16.8%,24.8%,76,80,83.4,7.0着,6.9人気,54.0,838,325,0,0.0%,7.7%,8.0%,115.91,12.88,55.91
4,ニジンスキー系, 121- 121- 138-1221/1601,7.6%,15.1%,23.7%,59,68,76.8,6.9着,7.0人気,48.8,784,293,0,0.0%,7.6%,8.6%,116.48,12.94,55.63
5,リファール系,  90-  80-  89- 849/1108,8.1%,15.3%,23.4%,81,71,87.3,7.0着,7.2人気,56.9,1000,311,0,0.0%,7.2%,8.0%,116.35,12.93,55.70
6,他のノーザンダンサー系,  80-  78-  77- 715/ 950,8.4%,16.6%,24.7%,58,73,80.9,6.9着,7.0人気,42.5,699,304,0,0.0%,8.2%,8.1%,116.64,12.96,55.56
7,ハンプトン系,  77-  87-  99- 794/1057,7.3%,15.5%,24.9%,54,66,71.5,6.7着,6.9人気,37.8,751,269,0,0.0%,8.2%,9.4%,116.78,12.98,55.49
8,グレイソヴリン系,  75-  78-  75- 887/1115,6.7%,13.7%,20.4%,59,62,73.7,7.3着,7.4人気,60.4,886,307,0,0.0%,7.0%,6.7%,116.60,12.96,55.57
9,ノーザンテースト系,  68-  70-  51- 489/ 678,10.0%,20.4%,27.9%,94,76,92.4,6.6着,6.8人気,45.3,938,273,0,0.0%,10.3%,7.5%,116.26,12.92,55.74
10,チェック種牡馬無し,  65-  70-  77- 646/ 858,7.6%,15.7%,24.7%,49,70,71.1,6.8着,6.9人気,42.8,655,287,0,0.0%,8.2%,9.0%,116.57,12.95,55.59
11,ヴァイスリージェント系,  63-  62-  53- 545/ 723,8.7%,17.3%,24.6%,77,82,77.5,7.1着,6.9人気,52.4,885,337,0,0.0%,8.6%,7.3%,115.55,12.84,56.08
12,キングマンボ系,  62-  61-  64- 594/ 781,7.9%,15.7%,23.9%,47,71,73.5,7.2着,6.9人気,59.3,597,300,0,0.0%,7.8%,8.2%,115.30,12.81,56.20
13,ネヴァーベンド系,  60-  66-  69- 639/ 834,7.2%,15.1%,23.4%,52,69,73.8,6.9着,7.1人気,46.7,730,301,0,0.0%,7.9%,8.3%,116.75,12.97,55.50
14,セントサイモン系,  60-  60-  61- 539/ 720,8.3%,16.7%,25.1%,63,65,75.7,6.8着,6.9人気,40.6,764,266,0,0.0%,8.3%,8.5%,116.73,12.97,55.51
15,プリンスリーギフト系,  58-  60-  40- 564/ 722,8.0%,16.3%,21.9%,91,60,73.9,7.2着,6.9人気,38.8,1141,278,0,0.0%,8.3%,5.5%,116.85,12.98,55.46
