BN220160103500002熊田　晋作　　　　　　　　　　　　　　　　　　　　　　　　　　　熊田　晋作　　　　　　　　　　　　　　　　　　　　　　　　　　　ｸﾏﾀﾞ ｼﾝｻｸ                                         Shinsaku Kumada                                                                                     桃，黒一文字　　　　　　　　　　　　　　　　　　　　　　　　201600000000000000000000000000000000000000000000000000000000000000043288500000027830000028000024000045000033000040000265
BN120021217500005稲葉　守治　　　　　　　　　　　　　　　　　　　　　　　　　　　稲葉　守治　　　　　　　　　　　　　　　　　　　　　　　　　　　ｲﾅﾊﾞ ﾓﾘｼﾞ                                                                                                                                             桃，紫襷，紫袖　　　　　　　　　　　　　　　　　　　　　　　198600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
BN120021217500006渡辺　キヨミ　　　　　　　　　　　　　　　　　　　　　　　　　　渡辺　キヨミ　　　　　　　　　　　　　　　　　　　　　　　　　　ﾜﾀﾅﾍﾞ ｷﾖﾐ                                         Kiyomi Watanabe                                                                                     黄，紫一本輪，袖紫縦縞　　　　　　　　　　　　　　　　　　　199500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
BN220180924500007沼川　一彦　　　　　　　　　　　　　　　　　　　　　　　　　　　沼川　一彦　　　　　　　　　　　　　　　　　　　　　　　　　　　ﾇﾏｶﾜ ｶｽﾞﾋｺ                                        Kazuhiko Numakawa                                                                                   白，袖紫うろこ　　　　　　　　　　　　　　　　　　　　　　　201800002592000000000000000002000004000003000001000003000026000000077434000000045860000044000037000042000056000054000393
BN220050103500008横井　孝作　　　　　　　　　　　　　　　　　　　　　　　　　　　横井　孝作　　　　　　　　　　　　　　　　　　　　　　　　　　　ﾖｺｲ ｺｳｻｸ                                          Kosaku Yokoi                                                                                        　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　200500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
BN120021217500009西谷　昇　　　　　　　　　　　　　　　　　　　　　　　　　　　　西谷　昇　　　　　　　　　　　　　　　　　　　　　　　　　　　　ﾆｼﾀﾆ ﾉﾎﾞﾙ                                         N.Nishitani                                                                                         赤，黄襷，袖黄一本輪　　　　　　　　　　　　　　　　　　　　199100000000000000000000000000000000000000000000000000000000000000010320000000002742000004000005000006000008000006000032
BN220090102500030小滝　渉　　　　　　　　　　　　　　　　　　　　　　　　　　　　小滝　渉　　　　　　　　　　　　　　　　　　　　　　　　　　　　ｺﾀｷ ﾜﾀﾙ                                           Wataru Kotaki                                                                                       　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　200900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
BN120030103500800株式会社　エムアイケア　　　　　　　　　　　　　　　　　　　　　エムアイケア　　　　　　　　　　　　　　　　　　　　　　　　　　ｴﾑｱｲｹｱ                                            U.M I Care                                                                                          青，赤袖緑一本輪　　　　　　　　　　　　　　　　　　　　　　200300000000000000000000000000000000000000000000000000000000000000019358000000002748000006000006000007000009000014000163
BN120021217501006田中　清美　　　　　　　　　　　　　　　　　　　　　　　　　　　田中　清美　　　　　　　　　　　　　　　　　　　　　　　　　　　ﾀﾅｶ ｷﾖﾐ                                           Kiyomi Tanaka                                                                                       白，赤山形一本輪，紫袖　　　　　　　　　　　　　　　　　　　199500000000000000000000000000000000000000000000000000000000000000000250000000000000000000000000000000000000000001000000
BN220050103501008荒井　宮子　　　　　　　　　　　　　　　　　　　　　　　　　　　荒井　宮子　　　　　　　　　　　　　　　　　　　　　　　　　　　ｱﾗｲ ﾐﾔｺ                                           Miyako Arai                                                                                         黄，海老縦縞，青袖　　　　　　　　　　　　　　　　　　　　　200500000000000000000000000000000000000000000000000000000000000000000255000000000000000000000000000001000001000001000007
BN120021218501009鈴井　桂夫　　　　　　　　　　　　　　　　　　　　　　　　　　　鈴井　桂夫　　　　　　　　　　　　　　　　　　　　　　　　　　　ｽｽﾞｲ ｶﾂﾗｵ                                         K.Suzui                                                                                             白，緑襷，袖緑縦縞　　　　　　　　　　　　　　　　　　　　　199800000000000000000000000000000000000000000000000000000000000000009110000000000808000008000007000005000011000006000074
BN120021217501800有限会社　前田総業　　　　　　　　　　　　　　　　　　　　　　　前田総業　　　　　　　　　　　　　　　　　　　　　　　　　　　　ﾏｴﾀﾞｿｳｷﾞﾖｳ                                        U.Maeda Sogyo                                                                                       　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　198500000500000000001120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
BN220070104502002三浦　一義　　　　　　　　　　　　　　　　　　　　　　　　　　　三浦　一義　　　　　　　　　　　　　　　　　　　　　　　　　　　ﾐｳﾗ ｶｽﾞﾖｼ                                         Kazuyoshi Miura                                                                                     黒，赤襷，黄袖　　　　　　　　　　　　　　　　　　　　　　　200700000000000000000000000000000000000000000000000000000000000000003493000000001192000002000003000003000004000004000035
BN220090102502006石田　眞一　　　　　　　　　　　　　　　　　　　　　　　　　　　石田　眞一　　　　　　　　　　　　　　　　　　　　　　　　　　　ｲｼﾀﾞ ｼﾝｲﾁ                                         Shinichi Ishida                                                                                     桃，緑二本輪，白袖　　　　　　　　　　　　　　　　　　　　　200900000000000000000000000000000000000000000000000000000000000000005597000000000000000004000004000006000012000004000074
BN220050103502008三田　考亮　　　　　　　　　　　　　　　　　　　　　　　　　　　三田　考亮　　　　　　　　　　　　　　　　　　　　　　　　　　　ﾐﾀ ﾅﾘｱｷ                                           Nariaki Mita                                                                                        　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　200500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004
BN120021217502009野沢　正一　　　　　　　　　　　　　　　　　　　　　　　　　　　野沢　正一　　　　　　　　　　　　　　　　　　　　　　　　　　　ﾉｻﾞﾜ ｼﾖｳｲﾁ                                        S.Nozawa                                                                                            白，黄三本輪　　　　　　　　　　　　　　　　　　　　　　　　199200000000000000000000000000000000000000000000000000000000000000000059000000000000000000000000000000000001000000000010
BN120021218502800農事組合法人　川南牧場　　　　　　　　　　　　　　　　　　　　　川南牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　ｶﾜﾐﾅﾐﾎﾞｸｼﾞｮｳ                                      N.Kawaminami B.                                                                                     赤，白一本輪，赤袖　　　　　　　　　　　　　　　　　　　　　199300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013
BN120021218503002米田　廣充　　　　　　　　　　　　　　　　　　　　　　　　　　　米田　廣充　　　　　　　　　　　　　　　　　　　　　　　　　　　ﾖﾈﾀ ﾋﾛﾐﾂ                                          Hiromitsu Yoneta                                                                                    白，桃一本輪，桃袖緑二本輪　　　　　　　　　　　　　　　　　200200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011
BN120021217503004勅使川原　三三男　　　　　　　　　　　　　　　　　　　　　　　　勅使川原　三三男　　　　　　　　　　　　　　　　　　　　　　　　ﾃｼｶﾞﾜﾗ ﾐｻｵ                                        M.Teshigawara                                                                                       白，黄縦縞，黄袖　　　　　　　　　　　　　　　　　　　　　　198900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004
BN120021217503006下津浦　盛幸　　　　　　　　　　　　　　　　　　　　　　　　　　下津浦　盛幸　　　　　　　　　　　　　　　　　　　　　　　　　　ｼﾓﾂｳﾗ ﾓﾘﾕｷ                                        Moriyuki Shimotsuura                                                                                　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　199500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
