RX06181101,45.8 ,43.7 ,46.3 ,45.2 ,46.5 ,48.5 ,49.1 ,45.2 ,48.9 ,50.5 ,46.0 ,50.9 ,58.0 ,48.1 ,57.6 ,69.5 ,
RX06181102,40.9 ,55.6 ,52.8 ,56.3 ,60.3 ,49.9 ,46.7 ,49.2 ,51.8 ,49.2 ,43.2 ,44.4 ,49.6 ,52.9 ,42.4 ,54.8 ,
RX06181103,49.2 ,61.4 ,48.1 ,48.0 ,49.2 ,45.7 ,46.5 ,46.4 ,51.2 ,41.8 ,57.6 ,50.1 ,53.8 ,49.0 ,51.9 ,,
RX06181104,51.3 ,59.5 ,50.3 ,52.0 ,42.8 ,48.9 ,52.4 ,54.4 ,42.9 ,53.3 ,49.1 ,39.8 ,45.6 ,54.9 ,41.1 ,61.7 ,
RX06181105,43.1 ,52.9 ,50.3 ,43.0 ,54.1 ,56.0 ,52.4 ,43.6 ,63.7 ,42.9 ,54.0 ,49.6 ,48.4 ,48.1 ,42.4 ,55.6 ,
RX06181106,41.2 ,44.1 ,51.8 ,45.1 ,57.2 ,51.5 ,45.9 ,45.8 ,46.1 ,55.3 ,53.0 ,48.2 ,51.3 ,50.4 ,56.9 ,56.2 ,
RX06181107,58.9 ,48.7 ,55.3 ,58.2 ,39.0 ,49.4 ,50.8 ,51.7 ,40.7 ,52.5 ,48.9 ,51.3 ,49.3 ,49.4 ,55.1 ,40.9 ,
RX06181108,50.1 ,48.0 ,46.7 ,47.2 ,45.4 ,44.2 ,53.9 ,53.4 ,44.5 ,49.1 ,53.9 ,51.4 ,50.5 ,59.1 ,56.9 ,45.5 ,
RX06181109,44.9 ,58.8 ,51.1 ,48.0 ,53.0 ,50.3 ,46.8 ,50.8 ,52.1 ,49.3 ,49.2 ,50.7 ,54.0 ,48.7 ,46.5 ,45.6 ,
RX06181110,44.6 ,47.6 ,51.5 ,51.5 ,51.5 ,50.1 ,54.0 ,50.0 ,49.2 ,,,,,,,,
RX06181111,47.9 ,56.8 ,59.5 ,47.4 ,58.0 ,49.6 ,58.2 ,48.7 ,49.4 ,45.1 ,50.2 ,51.2 ,42.1 ,49.2 ,48.3 ,31.6 ,56.7 
RX06181112,51.2 ,53.5 ,65.2 ,50.1 ,48.1 ,44.3 ,44.4 ,48.6 ,48.5 ,44.1 ,46.6 ,53.2 ,46.3 ,46.2 ,59.7 ,,
RX08181101,56.7 ,60.8 ,53.0 ,48.0 ,51.3 ,50.4 ,50.8 ,50.4 ,42.5 ,52.5 ,53.2 ,52.7 ,44.3 ,40.6 ,49.4 ,43.3 ,
RX08181102,46.6 ,46.4 ,45.9 ,43.7 ,51.0 ,46.7 ,51.4 ,41.5 ,53.4 ,49.1 ,53.7 ,51.6 ,53.1 ,54.2 ,56.1 ,55.6 ,
RX08181103,45.9 ,46.6 ,58.2 ,57.0 ,53.1 ,46.6 ,51.2 ,53.1 ,48.1 ,53.7 ,54.1 ,54.2 ,38.5 ,45.7 ,43.3 ,50.7 ,
RX08181104,47.2 ,48.3 ,54.7 ,54.3 ,50.6 ,47.7 ,50.8 ,53.4 ,47.6 ,45.6 ,56.0 ,44.8 ,51.2 ,45.6 ,52.2 ,50.0 ,
RX08181106,44.9 ,57.9 ,51.9 ,47.5 ,50.1 ,49.7 ,49.6 ,52.2 ,52.1 ,43.4 ,60.4 ,47.4 ,49.3 ,49.1 ,44.6 ,,
RX08181107,50.6 ,60.2 ,55.5 ,46.7 ,49.8 ,44.1 ,48.0 ,55.4 ,46.8 ,53.1 ,47.2 ,39.4 ,50.8 ,57.1 ,47.8 ,47.6 ,
RX08181108,46.8 ,52.2 ,41.0 ,55.1 ,54.7 ,51.4 ,47.7 ,47.9 ,57.0 ,50.1 ,53.3 ,44.0 ,49.2 ,49.4 ,50.2 ,,
RX08181109,53.9 ,49.4 ,52.2 ,50.5 ,49.8 ,50.5 ,49.5 ,44.3 ,,,,,,,,,
RX08181110,52.6 ,46.4 ,49.8 ,40.6 ,57.3 ,48.4 ,53.6 ,53.3 ,51.8 ,46.2 ,,,,,,,
RX08181111,46.5 ,45.3 ,50.7 ,46.9 ,50.5 ,46.6 ,49.0 ,54.9 ,56.3 ,49.1 ,45.5 ,53.0 ,55.7 ,,,,
RX08181112,56.9 ,49.0 ,46.2 ,51.7 ,54.1 ,47.3 ,59.0 ,44.6 ,47.9 ,47.0 ,51.4 ,51.2 ,48.2 ,50.2 ,48.7 ,46.5 ,
