順位,チェック種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,サンデーサイレンス系, 16- 21- 17-176/230,7.0%,16.1%,23.5%,49,50,63.0,7.9着,7.3人気,50.2,718,220,0,0.0%,9.1%,7.4%,72.10,12.02,59.91
2,ミスプロ系, 15- 14- 10-112/151,9.9%,19.2%,25.8%,67,61,95.8,7.1着,7.1人気,48.5,681,239,0,0.0%,9.3%,6.6%,72.32,12.05,59.73
3,グレイソヴリン系,  9-  6-  6- 69/ 90,10.0%,16.7%,23.3%,115,52,105.6,7.2着,7.5人気,49.3,1152,223,0,0.0%,6.7%,6.7%,72.41,12.07,59.66
4,ロベルト系,  7-  3- 10- 42/ 62,11.3%,16.1%,32.3%,57,61,89.3,7.0着,6.6人気,48.6,510,199,0,0.0%,4.8%,16.1%,72.03,12.01,59.97
5,ニジンスキー系,  5-  7-  6- 68/ 86,5.8%,14.0%,20.9%,29,57,60.7,7.1着,7.4人気,51.1,508,309,0,0.0%,8.1%,7.0%,73.02,12.17,59.16
6,プリンスリーギフト系,  5-  4-  7- 66/ 82,6.1%,11.0%,19.5%,40,67,63.7,7.7着,7.0人気,42.1,660,348,0,0.0%,4.9%,8.5%,72.36,12.06,59.70
7,ネヴァーベンド系,  5-  4-  5- 47/ 61,8.2%,14.8%,23.0%,41,120,111.4,6.9着,7.9人気,61.5,508,527,0,0.0%,6.6%,8.2%,72.67,12.11,59.45
8,レッドゴッド系,  5-  2-  1- 25/ 33,15.2%,21.2%,24.2%,110,49,164.1,7.7着,7.7人気,62.4,726,202,0,0.0%,6.1%,3.0%,72.33,12.06,59.73
9,リファール系,  4- 10-  7- 40/ 61,6.6%,23.0%,34.4%,65,110,78.8,7.0着,8.0人気,55.1,1002,321,0,0.0%,16.4%,11.5%,72.40,12.07,59.67
10,サドラーズウェルズ系,  4-  0-  3- 18/ 25,16.0%,16.0%,28.0%,108,92,176.1,5.2着,6.6人気,51.8,680,387,0,0.0%,0.0%,12.0%,72.24,12.04,59.80
11,他のターントゥ系,  3-  6-  8- 41/ 58,5.2%,15.5%,29.3%,23,97,59.3,7.2着,7.4人気,47.4,463,354,0,0.0%,10.3%,13.8%,72.42,12.07,59.66
12,ヘロド系,  3-  5-  2- 26/ 36,8.3%,22.2%,27.8%,63,104,83.4,7.3着,7.8人気,49.2,760,376,0,0.0%,13.9%,5.6%,72.56,12.09,59.53
13,ストームバード系,  3-  4-  1- 22/ 30,10.0%,23.3%,26.7%,37,59,80.9,7.1着,7.0人気,63.5,377,224,0,0.0%,13.3%,3.3%,72.47,12.08,59.61
14,ダンチヒ系,  3-  3-  7- 37/ 50,6.0%,12.0%,26.0%,13,96,50.7,7.0着,7.2人気,47.5,230,369,0,0.0%,6.0%,14.0%,71.98,12.00,60.02
15,フォーティナイナー系,  3-  2-  1- 40/ 46,6.5%,10.9%,13.0%,25,27,72.9,8.8着,7.8人気,57.7,387,212,0,0.0%,4.3%,2.2%,71.93,11.99,60.06
16,ヴァイスリージェント系,  3-  0-  0- 12/ 15,20.0%,20.0%,20.0%,83,32,172.7,6.6着,7.0人気,49.8,417,163,0,0.0%,0.0%,0.0%,71.86,11.98,60.12
17,他のネイティヴダンサー系,  2-  6-  1- 21/ 30,6.7%,26.7%,30.0%,158,94,86.6,6.5着,6.8人気,41.9,2380,313,0,0.0%,20.0%,3.3%,72.36,12.06,59.70
18,チェック種牡馬無し,  2-  4-  0- 19/ 25,8.0%,24.0%,24.0%,114,67,56.8,7.5着,7.1人気,42.9,1425,282,0,0.0%,16.0%,0.0%,72.60,12.10,59.50
19,他のノーザンダンサー系,  2-  3-  2- 50/ 57,3.5%,8.8%,12.3%,46,43,49.6,8.8着,8.7人気,73.0,1315,356,0,0.0%,5.3%,3.5%,72.69,12.12,59.43
20,キングマンボ系,  2-  2-  2- 26/ 32,6.3%,12.5%,18.8%,77,60,97.5,8.3着,8.4人気,76.3,1235,323,0,0.0%,6.3%,6.3%,71.94,11.99,60.05
21,ノーザンテースト系,  2-  1-  6- 42/ 51,3.9%,5.9%,17.6%,14,59,48.0,7.1着,7.6人気,48.8,380,339,0,0.0%,2.0%,11.8%,72.72,12.12,59.41
22,ディープインパクト系,  2-  0-  1- 18/ 21,9.5%,9.5%,14.3%,50,65,103.1,8.5着,7.6人気,44.8,530,457,0,0.0%,0.0%,4.8%,71.62,11.94,60.32
23,ハンプトン系,  2-  0-  1- 17/ 20,10.0%,10.0%,15.0%,47,27,116.9,8.6着,8.5人気,69.9,475,183,0,0.0%,0.0%,5.0%,72.77,12.13,59.37
24,ボールドルーラー系,  1-  2-  2- 16/ 21,4.8%,14.3%,23.8%,39,60,43.3,8.2着,7.8人気,52.5,820,256,0,0.0%,9.5%,9.5%,72.69,12.12,59.43
25,セントサイモン系,  1-  1-  2- 29/ 33,3.0%,6.1%,12.1%,62,36,46.7,8.2着,7.7人気,40.5,2050,302,0,0.0%,3.0%,6.1%,72.93,12.16,59.23
26,フェアリーキング系,  1-  1-  0- 10/ 12,8.3%,16.7%,16.7%,97,35,135.5,7.3着,8.1人気,66.5,1170,210,0,0.0%,8.3%,0.0%,71.48,11.91,60.43
