順位,チェック母父馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,ミスプロ系, 61- 57- 53-614/785,7.8%,15.0%,21.8%,77,74,85.4,7.9着,7.8人気,55.1,994,348,0,0.0%,7.3%,6.8%,70.94,11.82,60.89
2,ニジンスキー系, 59- 57- 38-531/685,8.6%,16.9%,22.5%,104,76,84.9,7.6着,7.5人気,52.5,1212,348,0,0.0%,8.3%,5.5%,71.36,11.89,60.54
3,サンデーサイレンス系, 53- 49- 57-525/684,7.7%,14.9%,23.2%,66,80,77.1,7.3着,7.2人気,45.0,853,355,0,0.0%,7.2%,8.3%,70.80,11.80,61.02
4,プリンスリーギフト系, 48- 54- 41-503/646,7.4%,15.8%,22.1%,104,76,83.5,7.2着,7.3人気,47.8,1401,352,0,0.0%,8.4%,6.3%,71.40,11.90,60.50
5,ノーザンテースト系, 35- 34- 39-335/443,7.9%,15.6%,24.4%,100,84,83.1,7.3着,7.4人気,50.9,1273,358,0,0.0%,7.7%,8.8%,71.33,11.89,60.56
6,チェック母父馬無し, 35- 32- 35-343/445,7.9%,15.1%,22.9%,84,80,82.1,7.3着,7.5人気,49.7,1071,376,0,0.0%,7.2%,7.9%,71.53,11.92,60.40
7,他のターントゥ系, 34- 37- 30-293/394,8.6%,18.0%,25.6%,85,70,86.0,7.4着,7.5人気,57.5,996,285,0,0.0%,9.4%,7.6%,71.23,11.87,60.65
8,グレイソヴリン系, 33- 42- 33-347/455,7.3%,16.5%,23.7%,66,60,66.1,7.3着,7.1人気,47.8,914,256,0,0.0%,9.2%,7.3%,71.29,11.88,60.60
9,ネヴァーベンド系, 33- 31- 39-364/467,7.1%,13.7%,22.1%,101,90,76.7,7.6着,7.9人気,61.0,1442,411,0,0.0%,6.6%,8.4%,71.43,11.91,60.48
10,他のノーザンダンサー系, 31- 34- 36-367/468,6.6%,13.9%,21.6%,67,72,71.2,7.4着,7.3人気,49.9,1022,352,0,0.0%,7.3%,7.7%,71.39,11.90,60.51
11,セントサイモン系, 30- 31- 36-315/412,7.3%,14.8%,23.5%,65,85,83.0,7.0着,7.5人気,47.8,902,367,0,0.0%,7.5%,8.7%,71.51,11.92,60.41
12,ハンプトン系, 29- 30- 47-355/461,6.3%,12.8%,23.0%,47,82,70.1,7.2着,7.5人気,53.8,753,385,0,0.0%,6.5%,10.2%,71.57,11.93,60.36
13,ダンチヒ系, 29- 26- 22-226/303,9.6%,18.2%,25.4%,73,88,85.8,7.4着,7.1人気,45.2,768,363,0,0.0%,8.6%,7.3%,71.12,11.85,60.74
