
05141601,47.5,45.1,49.1,46.9,46.8,50.6,61.5,45.1,55.3,48.4,46.4,51.3,52.8,41.2,57.5,54.7
05141602,48.3,46.4,50.3,61.1,45.2,44.6,54.2,51.6,50.2,51.2,58.1,47.6,52.0,41.6,47.5
05141603,44.1,58.3,52.4,56.5,52.3,52.7,51.1,48.2,44.0,57.2,45.5,54.9,42.0,46.1,47.0,47.6

05141605,52.0,48.8,47.9,59.8,45.0,48.9,47.6,47.0,56.8,44.1,54.1,50.2,54.5,46.5,51.5,45.3
05141606,55.1,45.8,52.1,54.6,42.5,54.9,51.0,45.2,57.3,56.1,60.5,40.4,45.2,49.2,45.1,45.1
05141607,57.6,43.9,51.7,44.9,49.0,50.0,51.4,54.7,49.9,49.3,43.1,55.7,49.5,56.5,43.6,49.3
05141608,47.2,45.2,56.3,49.1,45.7,46.3,53.7,51.3,50.1,54.1,51.9,44.0,56.5,50.5,43.9,54.1
05141609,40.4,52.1,52.0,53.6,46.9,54.1,49.1,51.8,50.3,57.4,41.8,43.9,46.1,48.5,59.2,52.7
05141610,45.7,55.0,48.6,50.1,44.5,58.1,53.0,54.8,48.7,43.4,44.3,55.3,48.4,50.2
05141611,43.5,57.7,48.1,55.3,57.7,48.1,54.2,50.2,41.6,46.7,48.7,48.6,47.7,52.0
05141612,42.0,52.9,45.7,48.4,46.8,49.8,52.7,52.9,42.4,46.9,46.1,64.5,51.5,54.4,56.4,46.5
